ID,Smiles_Detected,Last_Location,Location_History,Timestamp
56,1,"((323, 382), (393, 452))","[((502, 152), (561, 211)), ((323, 382), (393, 452))]",2018-11-17 11:48:32
57,1,"((598, 252), (632, 286))","[((598, 252), (632, 286))]",2018-11-17 11:48:47
58,0,"((255, 281), (306, 332))","[((255, 281), (306, 332))]",2018-11-17 11:51:38
59,0,"((360, 308), (449, 397))","[((360, 308), (449, 397))]",2018-11-17 11:57:46
60,0,"((160, 212), (253, 305))","[((160, 212), (253, 305))]",2018-11-17 11:58:03
61,0,"((168, 278), (284, 394))","[((168, 278), (284, 394))]",2018-11-17 12:00:09
62,0,"((444, 253), (497, 306))","[((444, 253), (497, 306))]",2018-11-17 12:00:20
63,1,"((158, 254), (247, 343))","[((158, 254), (247, 343))]",2018-11-17 12:04:19
64,0,"((461, 230), (496, 265))","[((461, 230), (496, 265))]",2018-11-17 12:04:44
65,0,"((505, 237), (540, 272))","[((505, 237), (540, 272))]",2018-11-17 12:04:45
66,1,"((549, 227), (594, 272))","[((549, 227), (594, 272))]",2018-11-17 12:04:46
67,0,"((554, 245), (605, 296))","[((554, 245), (605, 296))]",2018-11-17 12:04:47
68,1,"((158, 250), (252, 344))","[((158, 250), (252, 344))]",2018-11-17 12:07:03
69,0,"((197, 285), (286, 374))","[((197, 285), (286, 374))]",2018-11-17 12:08:24
70,0,"((163, 270), (227, 334))","[((163, 270), (227, 334))]",2018-11-17 12:11:07
71,3,"((158, 254), (247, 343))","[((161, 262), (238, 339)), ((161, 259), (243, 341)), ((158, 254), (247, 343))]",2018-11-17 12:11:09
72,0,"((16, 278), (96, 358))","[((16, 278), (96, 358))]",2018-11-17 12:13:00
73,1,"((157, 254), (246, 343))","[((157, 254), (246, 343))]",2018-11-17 12:14:02
74,1,"((155, 251), (247, 343))","[((155, 251), (247, 343))]",2018-11-17 12:16:30
75,0,"((368, 236), (406, 274))","[((368, 236), (406, 274))]",2018-11-17 12:19:09
76,0,"((422, 225), (473, 276))","[((422, 225), (473, 276))]",2018-11-17 12:19:10
77,0,"((544, 219), (604, 279))","[((544, 219), (604, 279))]",2018-11-17 12:19:11
78,1,"((163, 270), (232, 339))","[((163, 270), (232, 339))]",2018-11-17 12:19:25
79,0,"((168, 284), (284, 400))","[((168, 281), (284, 397)), ((168, 284), (284, 400))]",2018-11-17 12:21:05
80,1,"((159, 262), (238, 341))","[((159, 262), (238, 341))]",2018-11-17 12:21:14
81,0,"((177, 280), (230, 333))","[((177, 280), (230, 333))]",2018-11-17 12:21:32
82,2,"((174, 276), (234, 336))","[((164, 270), (233, 339)), ((174, 276), (234, 336))]",2018-11-17 12:21:52
83,1,"((157, 247), (266, 356))","[((157, 247), (266, 356))]",2018-11-17 12:22:27
84,0,"((230, 219), (270, 259))","[((230, 219), (270, 259))]",2018-11-17 12:24:51
85,0,"((69, 237), (105, 273))","[((69, 237), (105, 273))]",2018-11-17 12:24:51
86,0,"((282, 214), (332, 264))","[((282, 214), (332, 264))]",2018-11-17 12:24:52
87,0,"((17, 243), (68, 294))","[((32, 235), (81, 284)), ((17, 243), (68, 294))]",2018-11-17 12:24:52
88,0,"((324, 211), (383, 270))","[((324, 211), (383, 270))]",2018-11-17 12:24:54
89,1,"((472, 286), (553, 367))","[((472, 286), (553, 367))]",2018-11-17 12:24:57
90,0,"((138, 296), (187, 345))","[((138, 296), (187, 345))]",2018-11-17 12:29:04
91,0,"((206, 256), (268, 318))","[((206, 256), (268, 318))]",2018-11-17 12:31:28
92,0,"((70, 206), (125, 261))","[((102, 205), (151, 254)), ((88, 208), (141, 261)), ((70, 206), (125, 261))]",2018-11-17 12:34:00
93,0,"((58, 256), (111, 309))","[((69, 253), (122, 306)), ((58, 256), (111, 309))]",2018-11-17 12:34:04
94,0,"((210, 275), (263, 328))","[((210, 275), (263, 328))]",2018-11-17 12:34:53
95,0,"((386, 247), (421, 282))","[((386, 247), (421, 282))]",2018-11-17 12:35:30
96,0,"((349, 252), (389, 292))","[((349, 252), (389, 292))]",2018-11-17 12:35:31
97,1,"((438, 238), (487, 287))","[((446, 241), (481, 276)), ((432, 234), (468, 270)), ((438, 238), (487, 287))]",2018-11-17 12:35:32
98,1,"((549, 244), (584, 279))","[((549, 244), (584, 279))]",2018-11-17 12:35:32
99,0,"((313, 258), (362, 307))","[((313, 258), (362, 307))]",2018-11-17 12:35:32
100,1,"((586, 252), (621, 287))","[((586, 252), (621, 287))]",2018-11-17 12:35:34
101,0,"((284, 257), (337, 310))","[((284, 257), (337, 310))]",2018-11-17 12:35:34
102,0,"((231, 265), (290, 324))","[((231, 265), (290, 324))]",2018-11-17 12:35:36
103,1,"((449, 259), (525, 335))","[((449, 259), (525, 335))]",2018-11-17 12:35:37
104,0,"((266, 247), (301, 282))","[((271, 241), (302, 272)), ((266, 248), (300, 282)), ((266, 247), (301, 282))]",2018-11-17 12:38:13
105,0,"((268, 324), (321, 377))","[((268, 324), (321, 377))]",2018-11-17 12:38:13
106,0,"((220, 248), (270, 298))","[((220, 248), (270, 298))]",2018-11-17 12:38:17
107,0,"((285, 263), (336, 314))","[((285, 263), (336, 314))]",2018-11-17 12:38:20
108,0,"((237, 266), (295, 324))","[((237, 266), (295, 324))]",2018-11-17 12:38:21
109,0,"((140, 253), (174, 287))","[((140, 253), (174, 287))]",2018-11-17 12:38:27
110,0,"((63, 255), (109, 301))","[((63, 255), (109, 301))]",2018-11-17 12:38:28
111,1,"((170, 226), (220, 276))","[((170, 226), (220, 276))]",2018-11-17 12:38:31
112,0,"((132, 214), (185, 267))","[((132, 214), (185, 267))]",2018-11-17 12:38:32
113,0,"((85, 213), (143, 271))","[((85, 213), (143, 271))]",2018-11-17 12:38:33
114,0,"((213, 204), (264, 255))","[((213, 204), (264, 255))]",2018-11-17 12:38:38
115,0,"((163, 211), (220, 268))","[((163, 211), (220, 268))]",2018-11-17 12:38:39
116,0,"((413, 252), (466, 305))","[((413, 252), (466, 305))]",2018-11-17 12:38:41
117,1,"((24, 264), (80, 320))","[((24, 264), (80, 320))]",2018-11-17 12:42:12
118,0,"((179, 266), (251, 338))","[((179, 266), (251, 338))]",2018-11-17 12:44:52
119,1,"((158, 258), (245, 345))","[((158, 258), (245, 345))]",2018-11-17 12:45:19
120,1,"((171, 262), (253, 344))","[((171, 262), (253, 344))]",2018-11-17 12:45:32
121,1,"((162, 265), (240, 343))","[((162, 265), (240, 343))]",2018-11-17 12:45:43
122,0,"((126, 222), (177, 273))","[((135, 223), (180, 268)), ((126, 222), (177, 273))]",2018-11-17 12:48:50
123,0,"((4, 211), (67, 274))","[((4, 211), (67, 274))]",2018-11-17 12:48:52
124,0,"((536, 339), (622, 425))","[((536, 339), (622, 425))]",2018-11-17 12:48:54
125,0,"((324, 230), (361, 267))","[((324, 230), (361, 267))]",2018-11-17 12:49:29
126,0,"((418, 218), (470, 270))","[((418, 218), (470, 270))]",2018-11-17 12:49:30
127,0,"((403, 262), (458, 317))","[((403, 262), (458, 317))]",2018-11-17 12:52:33
128,0,"((364, 267), (411, 314))","[((372, 267), (409, 304)), ((364, 267), (411, 314))]",2018-11-17 12:52:33
129,0,"((406, 279), (457, 330))","[((406, 279), (457, 330))]",2018-11-17 12:52:35
130,0,"((461, 290), (520, 349))","[((461, 290), (520, 349))]",2018-11-17 12:52:36
131,0,"((514, 290), (587, 363))","[((514, 290), (587, 363))]",2018-11-17 12:52:37
132,0,"((34, 197), (124, 287))","[((34, 197), (124, 287))]",2018-11-17 12:58:56
133,0,"((94, 188), (201, 295))","[((94, 188), (201, 295))]",2018-11-17 12:58:57
134,0,"((318, 262), (353, 297))","[((318, 262), (353, 297))]",2018-11-17 12:59:47
135,0,"((385, 258), (426, 299))","[((385, 258), (426, 299))]",2018-11-17 12:59:48
136,0,"((480, 265), (538, 323))","[((480, 265), (538, 323))]",2018-11-17 12:59:48
137,0,"((183, 295), (259, 371))","[((173, 266), (251, 344)), ((189, 256), (262, 329)), ((185, 274), (253, 342)), ((183, 295), (259, 371))]",2018-11-17 13:02:23
138,1,"((165, 348), (218, 401))","[((168, 333), (221, 386)), ((165, 348), (218, 401))]",2018-11-17 13:02:24
139,1,"((156, 255), (250, 349))","[((156, 255), (250, 349))]",2018-11-17 13:08:38
140,0,"((209, 183), (262, 236))","[((209, 183), (262, 236))]",2018-11-17 13:13:02
141,0,"((317, 312), (378, 373))","[((317, 312), (378, 373))]",2018-11-17 13:24:13
142,1,"((175, 280), (230, 335))","[((175, 280), (230, 335))]",2018-11-17 13:28:40
143,1,"((162, 286), (215, 339))","[((162, 286), (215, 339))]",2018-11-17 13:33:40
144,1,"((283, 340), (336, 393))","[((283, 340), (336, 393))]",2018-11-17 13:40:52
145,0,"((432, 326), (501, 395))","[((432, 326), (501, 395))]",2018-11-17 13:40:56
146,0,"((339, 305), (425, 391))","[((339, 305), (425, 391))]",2018-11-17 13:42:59
147,1,"((163, 267), (235, 339))","[((163, 267), (235, 339))]",2018-11-17 13:44:16
148,0,"((159, 272), (220, 333))","[((159, 272), (220, 333))]",2018-11-17 13:45:35
