ID,Smiles_Detected,Last_Location,Location_History,Timestamp
59,0,"((97, 159), (243, 305))","[((64, 160), (228, 324)), ((33, 159), (204, 330)), ((16, 151), (174, 309)), ((48, 160), (209, 321)), ((97, 159), (243, 305))]",2018-11-19 10:24:52
60,0,"((23, 165), (166, 308))","[((23, 165), (166, 308))]",2018-11-19 10:24:59
61,1,"((45, 171), (188, 314))","[((106, 164), (263, 321)), ((64, 172), (216, 324)), ((45, 171), (188, 314))]",2018-11-19 10:25:00
62,2,"((167, 163), (334, 330))","[((186, 158), (348, 320)), ((167, 163), (334, 330))]",2018-11-19 10:25:04
63,0,"((152, 157), (323, 328))","[((160, 160), (324, 324)), ((152, 157), (323, 328))]",2018-11-19 10:25:06
64,0,"((219, 161), (370, 312))","[((219, 161), (370, 312))]",2018-11-19 10:25:27
65,0,"((196, 155), (384, 343))","[((196, 155), (384, 343))]",2018-11-19 10:25:48
66,0,"((513, 203), (601, 291))","[((513, 203), (601, 291))]",2018-11-19 10:26:29
67,0,"((248, 173), (355, 280))","[((248, 173), (355, 280))]",2018-11-19 10:26:30
68,0,"((345, 268), (417, 340))","[((345, 268), (417, 340))]",2018-11-19 10:26:31
69,0,"((169, 149), (434, 414))","[((169, 149), (434, 414))]",2018-11-19 10:26:43
70,0,"((71, 187), (244, 360))","[((28, 208), (194, 374)), ((71, 187), (244, 360))]",2018-11-19 10:26:51
71,0,"((521, 208), (633, 320))","[((494, 210), (601, 317)), ((498, 206), (600, 308)), ((521, 208), (633, 320))]",2018-11-19 10:27:01
72,0,"((461, 87), (622, 248))","[((461, 87), (622, 248))]",2018-11-19 10:27:04
73,0,"((337, 70), (533, 266))","[((383, 83), (542, 242)), ((337, 70), (533, 266))]",2018-11-19 10:27:05
74,1,"((167, 59), (360, 252))","[((167, 59), (360, 252))]",2018-11-19 10:27:07
75,2,"((233, 51), (418, 236))","[((228, 48), (424, 244)), ((233, 51), (418, 236))]",2018-11-19 10:27:08
76,1,"((231, 45), (421, 235))","[((231, 45), (421, 235))]",2018-11-19 10:27:10
77,2,"((200, 122), (326, 248))","[((201, 107), (342, 248)), ((200, 122), (326, 248))]",2018-11-19 10:27:12
78,3,"((297, 143), (391, 237))","[((263, 155), (345, 237)), ((288, 157), (369, 238)), ((297, 143), (391, 237))]",2018-11-19 10:27:14
79,1,"((371, 132), (487, 248))","[((371, 132), (487, 248))]",2018-11-19 10:27:17
80,0,"((306, 185), (440, 319))","[((306, 185), (440, 319))]",2018-11-19 10:27:23
81,0,"((461, 181), (604, 324))","[((461, 181), (604, 324))]",2018-11-19 10:27:24
82,1,"((457, 148), (560, 251))","[((457, 148), (560, 251))]",2018-11-19 10:27:27
83,1,"((290, 131), (396, 237))","[((290, 131), (396, 237))]",2018-11-19 10:27:28
84,2,"((115, 98), (256, 239))","[((181, 123), (295, 237)), ((115, 98), (256, 239))]",2018-11-19 10:27:29
85,12,"((212, 289), (363, 440))","[((379, 276), (505, 402)), ((306, 284), (454, 432)), ((246, 280), (398, 432)), ((221, 288), (368, 435)), ((221, 282), (376, 437)), ((229, 286), (380, 437)), ((233, 289), (378, 434)), ((222, 275), (381, 434)), ((220, 291), (367, 438)), ((223, 271), (374, 422)), ((211, 282), (354, 425)), ((207, 292), (355, 440)), ((215, 298), (366, 449)), ((211, 283), (368, 440)), ((211, 285), (365, 439)), ((193, 300), (350, 457)), ((192, 294), (354, 456)), ((196, 282), (351, 437)), ((212, 289), (363, 440))]",2018-11-19 10:27:32
86,1,"((31, 260), (84, 313))","[((31, 260), (84, 313))]",2018-11-19 10:28:11
87,1,"((216, 214), (267, 265))","[((216, 214), (267, 265))]",2018-11-19 10:30:14
88,0,"((299, 241), (331, 273))","[((299, 241), (331, 273))]",2018-11-19 10:30:29
89,0,"((370, 232), (443, 305))","[((370, 232), (443, 305))]",2018-11-19 10:30:31
90,0,"((214, 158), (365, 309))","[((214, 158), (365, 309))]",2018-11-19 10:31:39
91,0,"((323, 200), (385, 262))","[((323, 200), (385, 262))]",2018-11-19 10:32:02
92,1,"((182, 201), (238, 257))","[((253, 207), (309, 263)), ((467, 410), (516, 459)), ((188, 203), (239, 254)), ((182, 201), (238, 257))]",2018-11-19 10:32:03
93,0,"((206, 203), (259, 256))","[((206, 203), (259, 256))]",2018-11-19 10:32:04
94,0,"((554, 268), (626, 340))","[((554, 268), (626, 340))]",2018-11-19 10:32:32
95,0,"((6, 241), (55, 290))","[((6, 241), (55, 290))]",2018-11-19 10:32:45
96,0,"((56, 237), (107, 288))","[((40, 235), (92, 287)), ((50, 235), (102, 287)), ((56, 237), (107, 288))]",2018-11-19 10:32:46
